geo,name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789,37.41886,29.72107,31.11485,28.63597,30.10501,24.89227,29.2975,26.21007,23.74366,24.39087,22.81066,22.13704,20.63432,25.74031,26.4202,22.0429,25.77397,29.97558,33.59762,33.70143,34.74325,
ago,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65321,7.02687,9.00202,12.91118,6.29026,5.66469,8.15638,5.83955,6.19838,6.25088,5.0604,5.19128,5.24228,4.80534,6.6212,6.18029,5.84568,6.06963,6.50749,7.54706,9.12253,9.83117,10.017,8.60774,7.88263,9.94654,11.48635,13.73779,14.89328,16.42696
alb,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.83745,33.56166,28.94131,26.26104,23.62257,22.17901,20.45241,19.76392,19.80762,18.56308,17.12472,16.04158,15.53255,15.4221,15.27922,16.35861,16.72022,17.59137,18.92482,19.23776,18.74716,19.16719,18.07908,17.91556,18.1604,18.80614,17.79321,16.98448,16.22257,15.49801
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51706,0.44195,0.38589,0.41912,0.41474,0.38058,0.35352,0.3688,0.40692,0.41893,0.46651,0.49056,0.60116,0.58556,0.53762,0.51342,0.522,0.55954,0.54637,0.52263,0.55944,0.53184,0.48749,0.47849,0.46592
are,UAE,,,,,,,,,,,,,,,,0.54019,0.54509,0.48516,0.62907,0.54722,0.4906,0.54831,0.64037,0.7306,0.84247,0.92583,1.18452,1.14323,1.19774,1.19303,1.05843,1.29777,1.37862,1.4809,1.83043,1.78707,1.79243,2.00402,2.18089,2.33325,2.26265,2.2382,2.20332,1.92768,1.66536,1.39541,1.09424,0.97667,0.82731,1.03689,0.73503,0.65142,0.62794,0.63317,0.62872,0.72367,0.75086,0.76176,0.71146,0.74671,0.96389,0.94342,0.70335,0.70121,
arg,Argentina,,,,,,12.90416,10.27876,9.98039,9.72128,9.18581,9.63756,10.86588,10.98487,11.95252,10.23084,6.58391,8.15217,8.08714,7.50443,7.79628,6.35351,6.47552,9.59616,8.65832,8.34598,7.63431,7.8004,8.09436,8.97787,9.61607,8.12368,6.71649,5.99079,5.13683,5.08267,5.35146,5.61087,5.22197,5.25272,4.45783,4.67991,4.56859,10.20665,10.32817,8.36249,7.93875,6.93557,7.45235,7.31895,5.27362,7.13217,6.99873,5.78174,6.05292,6.7127,5.15669,6.26457,5.23162,4.53788,5.31856,6.35703,7.29128,6.6383,5.92985,5.9816
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91268,18.43476,18.07204,17.22312,16.39047,14.99426,13.94231,11.52561,11.34981,11.34355,10.1467,8.48156,7.92446
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,4.96966,4.45922,3.51458,2.98921,2.85856,2.59235,2.54838,1.92153,1.99639,1.74131,1.7618,1.616,1.54357,1.59918,1.58257,1.58408,1.51772,1.35331,1.39599,1.35956,1.42768,1.36745,1.35374,1.2891,1.28988,1.36173,1.36023,1.24103,1.32912,1.2327,1.17905,1.13039,1.11203,1.21465,1.41519,1.37702,1.484,1.44123,1.44568,1.4585,1.66091,1.62679,1.64671,2.27894,2.0808,1.95566,1.94327,
aus,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19345,3.1712,3.0429,3.2526,3.33807,3.0096,3.37884,3.22941,3.02882,3.04757,3.11043,3.49688,3.94503,2.88741,3.06161,2.88586,2.73103,2.20601,2.34209,2.3011,2.20444,2.2924,2.26782,2.28548,2.22074,2.37599,2.40555,2.70645,2.46004,2.11578,2.01225,2.30384,2.67323,2.5735,2.21817
aut,Austria,,,,,,,,,,,,,,,,,5.16883,4.46412,4.46866,4.34143,4.37937,4.0155,3.69067,3.45398,3.6262,3.17354,3.26647,3.23664,3.08578,3.04842,3.13503,2.8457,2.48337,2.23143,2.40058,2.18502,1.9765,1.96703,1.83847,1.78103,1.6709,1.70826,1.59223,1.48693,1.49318,1.28239,1.32752,1.46196,1.38504,1.17655,1.29289,1.46131,1.41768,1.27785,1.27556,1.14363,1.14928,1.1999,1.10911,1.04463,1.07138,1.21594,1.37475,1.29697,1.22893
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50068,30.48278,26.05963,27.10955,32.34566,25.34446,24.96158,20.12792,18.148,18.39951,16.08486,14.83746,13.95464,12.42566,10.98802,9.14753,7.09104,6.54008,5.57089,6.12193,5.54457,5.07623,5.13977,5.36626,5.31941,6.17764,5.60511,5.60737,5.21238,5.69538,6.73895,5.72598,4.61221,5.51059,5.65717
bdi,Burundi,,,,,,,,,,,65.33139,64.76177,60.77313,63.31364,61.03422,61.3036,59.47548,55.58016,53.96402,53.83225,57.57194,58.1426,52.61268,53.48219,54.65986,55.95197,52.51959,50.55635,48.21563,47.12209,51.05685,48.59791,48.00452,47.16981,40.73233,42.02269,53.38092,42.42186,44.5387,47.6353,44.10704,43.84314,43.33361,42.84128,41.9026,40.84812,40.63768,34.93417,38.00482,36.72136,38.43055,36.70458,35.42003,38.3674,34.95819,30.6847,31.54434,28.54665,29.0119,28.84439,28.62495,28.66022,27.56671,25.34187,
bel,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30662,1.32831,1.34082,1.25568,1.07624,1.17601,1.10935,1.03313,1.02944,1.02291,0.84064,0.90727,0.88752,0.71234,0.71868,0.84792,0.72624,0.84457,0.76457,0.71652,0.75062,0.67319,0.72953,0.66463,0.71879,0.71282,0.6549,0.69701,0.76922,0.80082
