geo,name,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
are,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18486.91124,94282.02923,110920.0344,125708.8946,145428.0119,281613.8817,135568.9309,343235.8842,273880.0516,658024.0279,444878.9051,1382364.097,1769645.075,1973019.968,1714668.004,1840576.096,2128999.952,2407999.904,2460249.116
arg,Argentina,727003.4394,599468.5679,674152.8136,655119.1841,784365.3864,1007961.928,883709.5156,743877.4243,816553.9314,1016846.279,989762.826,1001082.211,946560.8579,1153843.03,1074950.559,958262.1573,908036.6867,917117.3689,832327.0756,617818.1427,911402.0254,1041216.681,1155603.802,1184208.942,1281407.519,1054697.621,928117.8943,1046273.765,693893.9047,607489.9685,637502.3885,667826.0247,526888.5545,708289.6245,849997.3727,645971.3863,529394.048,394350.578,480985.717,818557.1319,942531.7665,853294.8791,1234768.797,1506110.872,827251.8391,1158390.417,1256977.166,1175337.967,1284548.82,1366441.674,1359770.469,1048034.537,1076980.988,1178774.482,545804.1941
aus,Australia,17371262.06,18004203.69,18508168.53,19062291.01,19714340.31,19922136.24,19997372.7,20888267.89,21752890.04,22705885.16,23434365.15,24229721.98,25294974.68,25955383.59,27131699.63,27924668,28644788.38,28949316.9,28938568.84,30602130.51,31654246.68,32457963.12,33822967.42,35577290.53,37313700.2,38206983.85,38973679.18,39205359.7,39457342.12,40263447.02,41630839.78,43332616.8,45525222.13,47556606.48,50504673.98,50867032.82,50353558.8,51487063.15,52961669.29,55187454.62,54869210.61,56355319.34,55866584.26,58230505.4,56301756.23,52220809.69,50902153.91,47669651.76,45242977.45,44868400.45,46461796.36,46431338.01,44839562.91,44056305.29,42588850.43
aut,Austria,5082966.466,4855339.4,4595950.368,4537719.977,4465726.33,4802593.866,4405297.602,3994315.468,3969881.532,4189404.796,3640632.464,3874462.597,3250238.846,3301996.752,3584360.371,3683123.149,3770421.324,3586032.292,3839710.519,4375441.865,4369303.525,3895313.844,3864096.685,3700248.4,3716943.728,4096350.435,4296837.68,3343252.365,3005911.436,3048533.486,3468498.854,3483249.498,3694628.595,3252794.497,3230431.356,3652537.021,3773098.309,3833165.186,4088365.816,4004841.406,3992953.33,3989507.261,3857230.821,3810525.222,2871090.57,3375810.882,3466864.67,3220537.403,3275693.37,3000478.408,3242785.182,3007703.736,3117111.637,2856240.566,3005671.874
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,92000.09554,92000.09554,92000.09554,92000.09554,92000.09554,88999.95223,67000.09554,12000.09554,2999.90446,3999.95223,2999.90446,2999.90446,2999.90446,,,,2999.90446,2000.09554,2999.90446,920.03439,3219.88153,3219.88153,4929.77931,3697.33448,3697.33448,5546.00172,4929.77931,3697.33448,3081.11207,1848.66724,3081.11207,1232.44483,1232.44483,1232.44483,1232.44483
bel,Belgium,19169144.93,17486757.91,17162274.29,17718329.99,17256263.97,16262639.01,13466633.94,12861860.85,10793449.41,11544921.66,8622439.094,8985706.984,9113952.661,9333109.057,10398565.49,10482760.58,10859205.84,10876226.23,9281180.138,10763416.69,10733163.28,9158165.186,9113769.944,9209673.02,9676227.19,10630415.11,10168618.99,9100622.91,8620690.026,9266179.899,8850335.101,8470135.903,7907329.942,7865589.949,6891804.958,7625421.085,7263494.077,6226691.029,6023137.957,5602263.065,5147527.945,5079685.918,4642023.025,4584356.071,2953148.944,3748967.947,3529575.093,3324389.032,3521136.906,3359559.09,3377488.058,3201740.948,3135724.897,3109522.069,3045772.666
bgd,Bangladesh,,,,,,,,93463.98204,121454.0938,107959.0618,124951.992,123452.9951,128950.9888,124951.992,92965.03296,124190.0736,127667.9087,154657.9727,87531.04997,35028.90035,48981.0834,73972.00726,116455.0492,119953.9027,124951.992,281391.9939,89966.08388,84468.09019,31488.00994,29489.10863,320877.0421,175932.9321,322876.8988,92964.07758,45981.89548,329873.8894,349866.0074,365359.9408,349366.103,349866.0074,717798.3185,1090616.7,890059.9503,936892.8537,1170664.708,745981.6566,1110536.687,916346.852,1268622.098,800756.1861,2667527.228,1973324.735,2138727.668,2444311.885,3447270.469
bgr,Bulgaria,5996000.048,6182999.904,6713999.952,7293999.952,7332999.904,8021000.048,7917000.096,8160000,8222999.904,8082999.904,8473999.952,7898999.952,7867000.096,8387999.904,8648999.952,9072000.096,9212000.096,9677999.904,9641000.048,9656000.048,10077999.9,10358999.95,10350000,9642000.096,9841000.048,8259493.886,7382777.061,7763461.116,8358537.069,7651856.071,7652806.917,7620229.053,8689180.042,8275892.089,6814554.075,6293522.977,7173548.056,6606176.077,7396245.104,7067614.885,6922608.914,7029214.914,7907956.912,7537817.904,6345089.09,6882800.946,8094958.919,6915560.094,5943730.056,6350100.076,6555160.982,5694299.943,6104930.974,5455472.915,4981252.269
blr,Belarus,,,,,,,,,,,,,,,,,,,,,2159276.058,2362157.017,2296692.94,2460562.96,2415500.382,2124694.994,2018328.079,1681013.901,1443684.914,1011500.908,951841.0242,1155165.043,1217294.115,1080293.303,1002274.768,994989.2519,714404.5572,673899.1593,634288.2392,621318.907,686143.833,614332.6646,694774.2906,647691.5544,617091.8124,645515.9071,775461.2114,791001.9585,839577.9593,832885.2584,740656.1097,813763.9725,841671.6824,884212.0474,943107.1463
bra,Brazil,1735000,1880000,1942999.904,1912000.096,2133999.952,2437213.624,2453348.381,2582623.483,2538139.39,2692371.501,3200795.118,3415855.068,4332419.27,4981514.522,5410890.895,5902387.026,5774536.161,6104196.284,6864730.104,8477326.598,10021327.98,10145529.28,10623799.8,10857079.39,10773127.93,9597660.504,11002884.06,10677559.23,11000539.08,11292489.25,11842633.04,12220046.1,12293315.66,12041291.44,12193275.77,12999268.18,12793465.65,12382664.8,12847698,13470067.59,12990937.47,12809456.15,13574524.7,13768904.18,11109816.09,14462393.95,15448813.41,15287739.32,16478374.41,17520754.04,17624910.67,15919721.51,16790319.58,16631679.8,15670128.02
