geo,name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
are,UAE,12185000000,12815000000,13658000000,14840000000,15612000000,17081000000,17222000000,18689000000,21730000000,23736000000,24982000000,26572000000,28464000000,33392000000,37126000000,39944000000,43172000000,46856000000,49450000000,52417000000,60698000000,62438000000,78761000000,80463000000,85698000000,93949000000,99137000000,1.06222E+11,1.09979E+11,1.16528E+11,1.27365E+11,1.29596E+11,1.34553E+11,1.35997E+11,1.38062E+11
arg,Argentina,45303728000,49022193000,52115279000,52499520000,50862813000,51004894000,53854269999,56107096999,61868779000,65622035000,67169254000,69759819999,72462470000,74169556000,80744734999,88977961000,90137770790,84590008370,92059443020,1.00261E+11,1.0575E+11,1.13424E+11,1.13525E+11,1.21905E+11,1.22326E+11,1.25992E+11,1.29483E+11,1.36034E+11,1.39441E+11,1.38551E+11,1.45422E+11,1.47193E+11,1.45618E+11,1.46774E+11,1.3993E+11
aus,Australia,1.23673E+11,1.29527E+11,1.35815E+11,1.43374E+11,1.51433E+11,1.55654E+11,1.57964E+11,1.61401E+11,1.65383E+11,1.70143E+11,1.75225E+11,1.80127E+11,1.8898E+11,1.99471E+11,2.069E+11,2.16829E+11,2.24255E+11,2.23495E+11,2.25952E+11,2.29217E+11,2.3074E+11,2.37991E+11,2.43185E+11,2.45371E+11,2.49902E+11,2.50962E+11,2.56304E+11,2.50672E+11,2.49563E+11,2.47647E+11,2.55152E+11,2.58492E+11,2.5913E+11,2.63078E+11,2.65117E+11
aut,Austria,44535000000,44653000000,50518000000,49023999999,50174000000,50413999999,51483999999,51180000000,52675000000,53309000000,56587000000,54835000000,56851000000,57437000000,60369000000,61798000000,62253061780,62452028270,60617633810,64856682200,66735285950,64364429550,64853041309,66927255460,69062635810,71070156130,65854435409,72390345200,68036994490,65109104180,64947295510,67919375079,70710009280,67984646330,73446204370
aze,Azerbaijan,20702000000,21542000000,22909000000,23572000000,23300000000,23152000000,23449500000,19762600000,19051000000,17571000000,17044000000,17085000000,16836000000,17995000000,18176000000,18700000000,18969000000,18701000000,21286000000,21744000000,22872000000,24543000000,21847000000,21642000000,18869000000,18709500000,20293800000,22988100000,23354000000,24727700000,24687600000,24952900000,24320900000,25198610000,26308137850
bel,Belgium,57321999999,58676000000,63367000000,65348999999,67547000000,70923000000,71936000000,72225000000,70834000000,72179000000,74408000000,76098999999,78833000000,83183000000,84514000000,84012000000,79821000000,82069000000,84630000000,85642999999,87025000000,85617000000,88822000000,84930000000,91235000000,95189428000,90240934000,82923093000,83474620000,72582200000,69755100000,85705400000,86641567000,74937656680,93577476520
bgd,Bangladesh,4528000000,4800000000,5587000000,6541000000,7115000000,7732000000,8270000000,8894000000,9206000000,9784000000,10806000000,11474000000,11858000000,12882000000,14450000000,15771000000,17392000000,18665100000,19712900000,24684900000,26450400000,29538000000,31015600000,34236100000,37208200000,40841400000,44219500000,48662000000,54378488210,57426840670,61832748040,69991125840,73417708090,81115109190,89748692120
bgr,Bulgaria,41632000000,41820000000,43473000000,45021000000,44331000000,42141000000,40861999999,35610000000,37997000000,38133000000,41788999999,42716000000,42803000000,41711000000,38248000000,40924000000,43968000000,42678999999,42600000000,41621000000,44365000000,45843000000,43297000000,45037000000,42964000000,46653000000,50797000000,47328999999,43784000000,47485000000,49228000000,45277000000,45578783000,46837700000,43310000000
blr,Belarus,33175000000,36282000000,37453000000,38150000000,38489000000,39526000000,38735000000,37595000000,33369000000,31397000000,24918000000,23728000000,26057000000,23492000000,26516000000,26101000000,25063000000,26456000000,26627000000,31211000000,30961000000,31811000000,31829000000,35054000000,30405000000,34890000000,32203000000,30794000000,31495000000,34736999999,34232000000,33572000000,34515000000,38927000000,40409331170
bra,Brazil,1.93682E+11,2.02129E+11,2.03331E+11,2.14953E+11,2.21739E+11,2.2282E+11,2.34376E+11,2.41762E+11,2.52003E+11,2.60041E+11,2.75601E+11,2.91279E+11,3.07981E+11,3.21749E+11,3.34726E+11,3.48921E+11,3.28519E+11,3.45679E+11,3.6434E+11,3.87452E+11,4.03031E+11,4.19383E+11,4.45149E+11,4.62939E+11,4.66158E+11,5.15799E+11,5.31758E+11,5.52499E+11,5.70835E+11,5.90542E+11,5.81228E+11,5.78898E+11,5.89327E+11,6.01396E+11,6.25595E+11
