geo,name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ago,Angola,,,,,,,,,,,,52020,58470,69990,73770,81690,36800,36800,45400,47720,51160,51160,54260,49700,51680,60280,60280,60280,60280,61050,62340,66380,72230,76530,76960,77390,79540,75240,91140,76870,78420,87450,98280,106700,150500,190800,229100,214700,269500,266000,304000,
alb,Albania,,,,,,,,,,,,60190,77390,96900,111800,137600,163400,189200,206400,232200,253700,262300,268700,275200,235500,183100,349200,288000,252700,264700,244900,302500,277400,285000,324200,361500,492300,432300,423100,454300,395000,305700,302000,420000,470000,462000,467000,239700,326500,447600,651700,
arg,Argentina,,,,,,,,,,,,132800,129300,257400,432300,447200,431000,495800,666600,916600,1302000,1263000,1513000,1584000,1709000,1775000,1806000,1878000,1293000,1115000,1537000,1395000,1667000,2052000,2353000,2307000,1970000,2409000,2273000,1839000,2474000,3183000,3083000,2907000,2617000,2924000,3263000,2611000,2615000,2912000,2888000,
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133700,132900,261700,369100,302100,165000,135200,119500,132200,103200,108400,83230,142600,170400,171800,152500,156900,159300,154500,173600,219800,
aus,Australia,343800,397300,422800,567400,588100,713100,607400,655400,654100,719900,764200,995800,995100,981200,1135000,1263000,1295000,1130000,1194000,1321000,1113000,1210000,1169000,1043000,1039000,1175000,1247000,1169000,1229000,1243000,1217000,1360000,1320000,1422000,1406000,1366000,1325000,1420000,1323000,1393000,1407000,1424000,1365000,1401000,1380000,1312000,1350000,1228000,1024000,944500,1072000,1274000
aut,Austria,976700,963200,996000,977300,1093000,1349000,1465000,1495000,1534000,1402000,1783000,1394000,1442000,1612000,1908000,2018000,1721000,2108000,2107000,2373000,2470000,2652000,2657000,2632000,2482000,2660000,2676000,3098000,3079000,3034000,2709000,2704000,2996000,3156000,3070000,3187000,2942000,3104000,3195000,3499000,3597000,3479000,3459000,2856000,3161000,3154000,3082000,3190000,3298000,3517000,3302000,2899000
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60190,151200,150200,206400,157300,133800,132200,147200,167800,129500,131900,111900,173700,212300,236900,258700,216500,203100,191900,198500,296300,
bel,Belgium,14790,16250,14020,12380,9888,23390,25710,20460,20980,19780,21150,11520,15480,14700,20640,15740,9372,19260,19170,20120,23900,32760,28630,28890,30180,24680,29490,36890,30870,26230,22870,19690,29320,21840,29750,29060,20550,26230,33450,29320,39550,37920,30950,21240,27260,24760,30870,33450,35250,28200,26830,17110
ben,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,172,172,172,172,172,172,85.98,85.98,,,,,,
bgd,Bangladesh,,,,,,,,,,,,15050,15050,28460,20890,37490,42480,37580,43510,50470,50130,53740,44970,56920,77130,63540,38690,44450,58040,79110,76010,72060,68440,52280,72830,31990,63540,61820,74380,71630,81340,85380,91660,96820,105400,111200,119400,119700,126700,133400,142900,
bgr,Bulgaria,,,,,,,,,,,,186600,180100,221000,178800,210900,254000,303400,250100,284700,319300,311100,262300,288100,280300,192300,200000,218200,223200,231400,161500,209900,177400,167000,126200,199000,251000,236800,266300,236700,229800,149400,188700,260400,272400,372900,364400,247100,242800,298400,434800,
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262900,441800,293000,203500,297400,313200,443300,400300,391800,475700,438000,445500,453000,387000,514100,515700,503600,344000,418500,536500,690100,
blr,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,1548,1462,1634,1634,1720,1376,1806,2408,1634,2322,2580,2494,2408,2837,3095,3009,3009,3353,3783,3869,
bol,Bolivia,,,,,,,,,,,,77210,81600,83580,88910,92350,96820,102200,108300,110600,91400,99400,98450,98280,100100,98190,95790,91230,100000,100300,101500,112000,108800,129100,113200,108600,122500,134600,133800,153600,167200,183100,189400,170900,184800,168900,185600,199400,198600,197400,187600,
bra,Brazil,,,,,,,,,,,,3714000,4358000,4978000,5647000,6216000,7129000,8038000,8835000,10020000,11080000,11240000,12140000,13020000,14320000,15340000,15690000,15960000,17120000,17600000,17770000,18730000,19200000,20210000,20870000,21830000,22850000,23990000,25060000,25190000,26170000,23030000,24600000,26280000,27580000,29020000,29990000,32160000,31780000,33620000,34680000,
can,Canada,9182000,9012000,9026000,9010000,9832000,10150000,11260000,11520000,11710000,12950000,13600000,13970000,15620000,16740000,18110000,17410000,18290000,18930000,20230000,20990000,21590000,22870000,22170000,22870000,24600000,26110000,26710000,27190000,26430000,25050000,25510000,26510000,27200000,27820000,28360000,28880000,30580000,30150000,28540000,29730000,30830000,28660000,30140000,29020000,29310000,31270000,30340000,31610000,32180000,31700000,30220000,32360000
che,Switzerland,1764000,1858000,1820000,1937000,1896000,2124000,2379000,2562000,2522000,2339000,2658000,2311000,2104000,2399000,2388000,2878000,2231000,3075000,2741000,2714000,2821000,3051000,3124000,3046000,2594000,2756000,2829000,2981000,3077000,2560000,2562000,2758000,2812000,3076000,3359000,3024000,2472000,2927000,2878000,3440000,3167000,3552000,3028000,2994000,2902000,2685000,2662000,3031000,3099000,3072000,3101000,2764000
chl,Chile,,,,,,,,,,,,413500,492700,481100,547200,549300,567400,599200,623500,640400,676800,700800,766500,826600,857700,951800,1017000,1103000,1080000,906500,767700,1129000,1440000,1535000,1461000,1583000,1448000,1629000,1371000,1169000,1592000,1806000,1914000,1864000,1890000,2277000,2505000,1989000,2080000,2175000,1867000,1806000
chn,China,,,,,,,,,,,,2580000,2923000,3267000,3697000,3869000,3921000,4093000,3835000,4308000,5005000,5636000,6397000,7426000,7462000,7942000,8128000,8599000,9385000,10180000,10900000,10760000,11390000,13050000,14390000,16390000,16160000,16850000,17880000,17520000,19120000,23850000,24760000,24390000,30400000,34140000,37470000,41730000,50320000,52940000,62100000,
civ,Cote d'Ivoire,,,,,,,,,,,,11950,19430,14450,23820,32930,29580,19090,14360,62770,116300,148800,148600,83920,32070,116800,102800,90460,106700,137100,113700,107800,90110,94500,100900,153400,153200,161600,118400,150800,151700,154800,148700,157500,150300,123600,129800,154500,163200,183200,139100,
cmr,Cameroon,,,,,,,,,,,,89940,92260,91830,102300,111300,108000,105300,108300,112500,117400,155600,175200,179600,187300,205300,209000,210700,221200,229100,228400,229700,232300,240900,231100,236700,246600,265900,267900,286700,296000,298700,273600,303400,337100,324300,334700,330800,363900,345300,366300,
cod,"Congo, Dem. Rep.",,,,,,,,,,,,295500,295500,324000,291800,318700,344600,349500,343900,341300,364800,358500,354500,385100,403700,432200,452200,450700,451200,594600,483700,452200,520600,475300,455200,529600,523700,432000,404900,455700,515600,513700,525400,529700,608600,635400,646600,672400,643100,670300,674900,
cog,"Congo, Rep.",,,,,,,,,,,,4643,5675,4299,4729,4987,5417,4127,945.8,6621,8598,8856,14960,19950,21580,25020,23040,23900,24850,34140,42130,41270,36460,30870,27690,30270,39210,38780,29410,8169,25370,28720,34050,29410,28370,30520,31990,28800,32240,28370,36970,
col,Colombia,,,,,,,,,,,,572900,627500,682600,760900,765300,790800,898800,1038000,1140000,1228000,1229000,1300000,1312000,1466000,1577000,1825000,1989000,2096000,2292000,2364000,2384000,1916000,2395000,2757000,2765000,3052000,2706000,2647000,2901000,2758000,2734000,2921000,3110000,3446000,3422000,3675000,3822000,3990000,3530000,3474000,
cri,Costa Rica,,,,,,,,,,,,88390,94410,97250,107300,111300,124600,115000,127100,139600,182300,196500,205200,239600,258300,237000,248600,258000,261900,286200,290800,314400,308200,338100,339000,305700,327800,413400,368600,441700,488700,469300,513400,517800,572900,564600,567600,582000,635200,621200,624500,
cub,Cuba,,,,,,,,,,,,9458,6363,5331,7653,5417,4557,6277,7137,8942,8340,5159,3697,5417,6019,4643,5073,3783,6277,7051,7825,9028,6965,7051,4213,6363,8169,11180,8340,8856,7653,6449,9114,11010,7567,5847,8083,10400,11870,12980,8340,
cze,Czech Republic,,,,,,,,,,,,103900,108700,92950,156400,156000,124300,169100,157400,197200,206300,177200,143600,142300,111600,143700,161300,212000,180500,141300,99830,93640,120600,117700,125500,172100,169300,146100,120000,144500,151200,176600,214300,118900,173600,204600,219300,179600,174000,208900,239800,183800
deu,Germany,1035000,1025000,980700,962500,952400,1226000,1359000,1317000,1343000,1128000,1507000,1157000,1135000,1310000,1517000,1466000,1191000,1511000,1579000,1580000,1640000,1712000,1697000,1608000,1588000,1494000,1596000,1749000,1725000,1567000,1498000,1280000,1496000,1537000,1714000,1873000,1888000,1492000,1480000,1689000,1869000,1955000,1988000,1656000,1812000,1684000,1714000,1797000,1801000,1604000,1756000,1580000
dnk,Denmark,2150,2236,2236,2150,2150,2150,2236,2150,1806,1892,2064,2064,2064,2064,2064,2064,2064,1892,1978,2150,2580,2837,2666,2923,2580,2580,2494,2494,2837,1978,2408,2150,2408,2408,2837,2580,1634,1634,2322,2666,2580,2408,2752,1806,2322,1978,1978,2408,2236,1634,1806,1462
dom,Dominican Republic,,,,,,,,,,,,46090,49530,45570,43160,36720,67150,39210,63970,71200,47980,117500,72060,80830,99140,98370,119200,132000,141900,40760,30010,43590,45830,97080,45830,51930,74200,57180,63030,94500,65520,59850,74890,102600,137600,164100,150500,146300,119000,145500,154200,
dza,Algeria,,,,,,,,,,,,28370,42560,64660,42730,28200,33450,23130,21500,25020,22100,31470,41190,20210,38870,55550,21500,42910,15740,19430,11610,25190,17110,30350,14270,16600,11610,6449,18490,17450,4643,5933,4901,22790,21580,47720,18740,19430,24330,26310,14960,
ecu,Ecuador,,,,,,,,,,,,37830,38260,37400,42990,54000,52020,47980,68010,60960,74980,66980,76960,148000,278000,281900,345000,392900,415000,426000,428800,436400,427700,499600,564500,443800,545500,561800,559400,617100,654300,608000,647000,617500,637300,591800,613100,777000,971100,792900,742600,
egy,Egypt,,,,,,,,,,,,433400,443600,443300,526400,583800,688100,777000,801400,817700,842700,878300,900600,844100,828300,744900,798000,744500,773900,857600,854000,851200,834000,901500,943300,981300,993600,1031000,1051000,1260000,1178000,1301000,1106000,1119000,1087000,1087000,1111000,1334000,1262000,1106000,1122000,
esp,Spain,1343000,1374000,1382000,1818000,1775000,1693000,2344000,1948000,2097000,2631000,2388000,2736000,3050000,2486000,2628000,2241000,1800000,3407000,3461000,3989000,2541000,1887000,2264000,2326000,2707000,2690000,2278000,2355000,3031000,1664000,2185000,2346000,1627000,2096000,2423000,1987000,3422000,2990000,2924000,1966000,2543000,3528000,1971000,3530000,2724000,1537000,2226000,2342000,2023000,2264000,3635000,2631000
est,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.98,85.98,258,172,172,258,343.9,343.9,429.9,601.9,515.9,1118,1892,1892,1204,1806,2408,2752,2322,2580
eth,Ethiopia,,,,,,,,,,,,26140,26830,28630,29920,30010,31210,32240,34910,37750,41620,43590,49870,54170,59330,58040,61650,61990,61220,61990,91320,93040,98970,108600,116400,122800,129800,134700,135800,138000,141500,171300,173900,196000,216800,243600,280200,291100,283400,303000,424000,
fin,Finland,453100,689900,840100,719900,716800,804300,892600,999900,901900,751900,796000,913800,887600,904100,1086000,1045000,811300,1042000,837700,934700,878400,1174000,1125000,1168000,1139000,1060000,1065000,1186000,1149000,1120000,933700,1135000,1299000,1159000,1013000,1111000,1020000,1053000,1294000,1099000,1261000,1135000,926600,824700,1296000,1185000,988300,1219000,1471000,1091000,1111000,1073000
fra,France,3516000,3329000,3118000,3784000,3027000,4031000,4488000,3901000,4335000,4551000,4873000,4200000,4198000,4100000,4834000,5168000,4175000,6562000,5877000,5710000,5977000,6207000,6067000,5970000,5648000,5324000,5373000,6062000,6580000,4010000,4626000,4953000,5930000,5582000,6777000,6270000,5683000,5485000,5340000,6239000,5773000,6417000,5210000,5087000,5148000,4449000,4829000,4981000,5469000,4919000,5332000,3878000
gab,Gabon,,,,,,,,,,,,,429.9,429.9,8598,12300,13930,25880,25450,26660,22360,35430,41870,47030,52450,57350,59590,60020,60960,58040,60620,60790,61220,61050,64140,68010,66210,69560,69820,71450,69050,75490,79360,77390,76780,69820,81260,68870,76870,76180,69560,
gbr,UK,271200,333600,325500,283700,308200,358800,345400,376600,305800,275800,385800,288700,291600,331700,349600,322500,317100,332800,343500,365000,334600,373800,389500,391400,342800,351700,409800,355700,424200,408300,447700,397600,467000,369900,438000,416000,291700,358500,440100,458800,437300,348800,411600,277500,416400,423200,394900,437700,444400,452500,309900,489600
geo,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651500,638300,559200,567700,582300,447400,515900,519900,547900,553900,503900,476500,581900,561100,520100,536200,457000,586200,615800,637300,805400,
gha,Ghana,,,,,,,,,,,,250100,285600,332900,350600,339600,358900,377800,319900,398200,453700,459200,424800,219100,154700,256800,375900,402100,413400,449800,491900,525300,567700,540900,523000,524200,569600,589100,329300,444500,568400,568200,433000,334000,454100,484000,483100,320500,532700,591300,601500,
grc,Greece,39980,49960,55550,72830,67930,68870,148800,142700,117600,176700,226700,228000,230200,191100,201800,173300,161600,165300,256900,306600,292800,292900,306200,201200,246100,241200,278200,239000,203400,163400,152100,266500,189400,196200,223500,303400,373900,333800,319600,394800,317500,180300,240800,409800,401700,431400,504300,222800,284800,462100,641400,329400
gtm,Guatemala,,,,,,,,,,,,22360,19170,20030,21580,24420,26910,20120,24330,23650,20120,24760,34220,56580,42650,47640,119100,117800,127300,143700,147700,147700,124400,132200,140500,163300,160900,158500,179400,197200,216900,189200,167700,159200,265600,326700,305800,277600,316700,215800,283200,
hnd,Honduras,,,,,,,,,,,,20810,26140,30870,34390,36110,37150,40330,55630,63710,67240,70590,72740,71450,75150,112200,122800,150200,163400,171500,196000,198800,188500,194200,156200,143900,175300,179300,165300,183600,194300,163700,138500,149700,120500,147700,178000,190400,197000,240500,255000,
