geo,name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.77454,6.12552,11.65524,11.27143,10.91277,7.19975,22.52776,2.09629,-2.1634,3.81463,16.59335,7.30176,4.82279,0.56694,2.44756,-2.19753,2.40366,2.07135,6.52148,6.96295,2.839,9.40624,2.92366,
ago,Angola,,,,,,,,,,,,,,,,,,,,,-2.10031,,0.01276,0.00119,19.03521,-9.01306,9.82331,2.21377,16.27966,14.00744,106.30998,476.51575,917.78347,2175.97896,1825.49515,4800.53164,95.45302,39.35935,557.50111,418.01899,106.35213,196.9841,93.92657,33.44359,42.37425,17.11567,4.30843,19.36577,-16.76214,32.27047,31.77146,7.25575,2.83972,3.56088,-3.51839,21.77424,22.61451,28.16709,19.187,10.76311,38.82372,13.71059,17.60014,25.23921
alb,Albania,,,,,,,,,,,,,,,,,,,,,-2.13957,-0.01772,-0.01676,-0.02836,0.35122,-2.4173,-0.00031,-0.00058,0.00368,-0.43137,35.51425,232.98466,125.65081,35.84248,33.51708,16.93441,12.75594,7.85515,2.78508,5.91957,3.76595,3.90388,4.93749,3.09537,3.14371,2.68477,5.14957,3.49864,2.57034,4.12744,1.69479,0.22674,0.35256,1.44342,0.77158,-0.86427,2.72507,1.45329,1.00063,0.04104,3.44439,9.86158,6.06605,2.68887
and,Andorra,,,,,,,,,,,7.84587,8.51808,11.84943,15.9452,16.7818,16.48986,23.38309,20.63104,16.93169,13.35481,12.35117,13.58235,11.88424,10.86473,8.59546,10.87882,5.9442,5.93612,6.89621,7.32624,6.93515,6.71077,4.53723,3.87986,4.93312,0.79718,2.22816,1.49955,2.73198,28.74155,3.08054,3.23953,3.17748,3.04242,3.3961,3.45718,3.21123,2.27434,0.13214,0.37431,0.19676,0.17456,0.44849,-0.08402,0.66059,0.3478,1.13651,1.01248,1.37475,1.11379,2.55886,4.23665,6.2956,3.14366
are,UAE,,,,,,,,,,,,,54.25283,138.26349,19.00092,11.77433,5.25576,-3.66111,7.05102,9.51598,7.05448,1.31287,-3.61802,-6.09747,0.74053,-1.69849,3.68558,2.38105,1.75128,3.3359,0.81085,1.80683,1.27804,-0.26247,3.90748,5.77304,-0.9523,-4.25445,8.44338,11.45954,-2.34931,3.77084,4.07241,8.50142,16.52631,11.96215,12.53396,18.53335,-15.18298,16.52789,13.16722,4.67973,-0.94933,-0.66805,-16.26701,-5.52948,4.98621,7.93675,-3.19441,-12.03131,13.84377,12.62989,-1.3042,0.67647
arg,Argentina,20.3107,28.87184,25.59115,28.77462,21.23293,25.60346,29.01826,10.27531,7.79583,6.46787,31.27106,64.24479,65.53529,30.63044,197.69736,438.32278,159.42718,161.37217,147.37704,95.79042,105.27637,194.5353,380.15853,611.1963,607.4475,77.29224,127.53992,381.24634,3046.09115,2078.31682,140.50238,16.07199,-3.5611,2.84934,3.16512,-0.05238,-0.46391,-1.70528,-1.83656,1.03729,-1.09577,30.5552,10.4957,18.36335,10.31751,13.74105,14.93993,23.17116,15.37765,20.91512,23.70347,22.31488,23.9488,40.28297,26.57999,41.11938,26.00638,42.03367,49.19558,40.08309,53.80209,69.87608,135.36888,207.92186
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3861,568.8073,1391.16654,4107.29677,161.16392,19.59177,17.73599,10.6985,0.0538,-1.37368,4.02797,2.3574,4.59852,6.27859,3.20876,4.61801,4.27788,5.98956,2.49725,7.76872,4.28155,5.3458,3.36682,2.30918,1.21391,0.26858,2.15064,2.78771,1.06562,1.80659,6.90051,7.98588,2.673,1.16127
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,8.81996,15.17788,11.73456,8.64318,11.51,5.41388,4.20116,7.85085,8.32787,9.32514,12.72698,5.12005,2.09763,3.10699,2.93098,2.31581,3.58825,3.04812,3.41063,2.53022,2.6807,2.01108,1.53552,2.06378,1.27445,-0.47933,2.34865,4.6785,1.11767,4.36932,4.73836,1.10964,1.60742,1.13459,2.55082,-2.28757,1.77707,2.8018,-0.47512,0.31653,1.44422,0.71234,0.78165,4.91927,6.78027,4.91194,6.31892
aus,Australia,3.22197,-0.0756,1.78993,3.28305,2.98448,2.68348,4.86368,2.25264,4.7563,5.13234,5.18608,6.18861,8.98397,16.37756,16.48979,14.01987,11.41866,8.23618,8.63443,10.01657,9.52479,11.70923,10.15756,7.863,4.68071,6.54751,7.03174,7.17426,9.23191,6.09459,3.02018,1.47903,0.86738,1.0188,2.28914,2.71144,1.27279,1.13564,0.47537,2.55077,4.63074,2.84035,2.98555,3.2323,3.82548,5.11534,4.98605,4.56978,4.94918,1.15377,6.20198,1.8057,-0.1636,1.4054,-0.62386,-0.66316,3.65318,1.86901,3.4682,1.8855,3.07995,7.17553,6.512,2.62655
aut,Austria,5.08715,3.3402,3.67827,3.18379,5.32142,3.12237,3.24776,2.83803,2.73357,4.7421,6.20437,7.59993,8.04554,9.50214,6.45778,5.62492,5.19871,5.99302,4.11437,5.58063,6.71667,5.35529,3.47278,4.94977,2.963,2.951,2.43695,1.52686,2.96476,2.99968,3.64187,3.47909,2.75708,2.52494,1.81392,0.96044,1.26254,0.48206,0.21932,1.36731,1.93728,1.10422,1.267,1.72796,2.53197,2.04462,2.25927,1.93379,1.73939,0.89134,1.81994,2.09166,1.70872,2.00674,2.29263,1.81475,0.97532,1.81048,1.47369,2.59313,1.92613,4.75478,6.64765,3.05059
