geo,name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
are,UAE,698344.7979,1233211.522,1251655.202,1454954.858,1457050.731,1391659.501,1626397.248,3269561.479,4786973.345,5122312.984,6304385.211,7427773.001,7964316.423,7008598.452,9221840.069,11091358.56,12759673.26,14159716.25,14553740.33,17085554.6,16859200.34,19961092,18586199.48,19273645.74,21646173.69,26257093.72,28336199.48,30440455.72,31077601.03,32268056.75,32175838.35,32997420.46,36375967.33,37549656.06,38807179.71,40064703.35,40903052.45,42160576.1,42118658.64,40944969.91,42992218.4,43852364.57,45522355.98,45773860.71,45475906.18,50452647.13,51861810.45,53620802.04,52773273.38,53766826.69
arg,Argentina,5033920.894,5439895.863,5171057.61,5630967.326,6060773.861,6432046.432,6132687.016,6330030.095,6530717.971,6045722.27,7020312.649,7304620.474,8186392.949,10987661.22,11271969.05,11614810.83,12969454,12668422.18,15018142.73,15879428.2,14917798.8,16665455.72,16799247.64,17995012.9,18622162.51,20913349.1,24191251.07,22895141.87,24743142.73,28907416.17,31282222.7,31056448.84,30195163.37,34317626.83,37528632.85,38155782.46,38548796.22,37486822.87,36842949.27,34652786.85,33531380.77,32431509.03,31548756.09,29712685.82,29652518.87,30516890.94,32057056.22,31943154.2,33899733.21,35783161.36
aus,Australia,1487874.033,2220694.803,3187812.888,4047188.306,4617539.887,4958724.802,5853586.988,6686882.106,7199086.892,8286774.147,9515552.689,10313361.04,10058541.37,10926467.71,10775345.13,11517852.3,12582053.36,12845622.67,13155063.53,15225764.31,17722396.34,18552450.56,20063280.55,20966382.44,24068114.07,25447952.14,25480398.16,25483789.29,26030703.16,26408024.98,26820576.57,28066481.32,28375889.7,29015671.4,30894507.74,32876422.81,34980418.94,36759402.17,35840845.51,40152702.3,46440771.47,47850964.22,51183228.24,53138562.15,57303628.55,65381721.6,82905610.97,97008222.27,111868336.2,131955371.6
aze,Azerbaijan,,,,,,,,,,,,,,,,11794679.71,11400685.25,10478570.98,9975599.742,9304971.1,8299028.375,7209256.95,6622457.008,5700342.744,5365028.423,5532685.583,4926605.044,4691884.972,4378366.055,4691884.972,4423633.563,4336451.944,4022094.679,4009520.397,3906411.34,4805137.336,5669661.317,9080394.335,13694654.15,13683085.89,13976485.86,13715527.37,14453805.53,15001206.17,15807461.31,16151377.9,15715855.55,15269671.11,16377141.73,20909908.04
bgd,Bangladesh,,,377999.9045,522999.9045,575000,577999.9045,761000.0478,848999.9522,937000.0955,1077999.904,1213999.952,1170580.873,1519763.304,1691073.612,1951905.751,2216721.84,2499582.975,2936880.911,3456670.488,3654228.05,3933105.235,4050514.713,4417039.027,4944327.649,5243827.744,5797363.619,6222241.33,6116314.847,6609154.008,7205810.404,7788640.25,8721589.758,9175526.894,9869673.02,10610689.55,11404434.89,12350273.72,13186905.03,14081186.83,16119293.49,16555225.47,16837617.75,18345897.82,18875998.85,19795590.43,22230492.5,22743720.26,22865582.55,22856208.32,24682737.17
bhr,Bahrain,558999.9522,815000,1017000.096,1442000.096,1777999.904,1871000.048,1961000.048,2127000.096,2337000.096,2591000.048,2102999.904,1950000,3078999.952,3227000.096,3325000,4058999.952,4647000.096,4515000,4796000.048,4988999.952,5225000,4981000.048,5820000,6233999.952,6382000.096,6487999.904,6681000.048,7172999.904,7542000.096,7803999.952,7888999.952,8215000,8512000.096,8665000,7970669.724,8748310.643,9254692.366,9629085.459,10333257.38,10432935.89,10686720.65,10854754.23,11222574.76,12001573.28,12636736.65,12688829.89,12387374.13,12438798.84,12594545.24,14530966.13
bol,Bolivia,36000.04777,36000.04777,960000,1480000,1548999.952,1527000.096,1573999.952,1661000.048,1637000.096,1790000,2195000,2341000.048,2427999.904,2331000.048,2242000.096,2222000.096,2262999.904,2367000.096,2502000.096,2638999.952,2697000.096,2681000.048,2434327.888,2428790.962,2618934.27,2616824.544,2642572.37,2227381.771,2326311.503,1873092.099,2684782.889,3909798.175,5009325.738,5756997.946,8099639.104,9992761.297,10701025.6,11461902.41,11859001.62,10216323.68,11792349.29,12926914.11,14737561.14,16831869.45,17434930.97,16819084.74,16143203.4,15679943.87,14648352.44,12854981.61
bra,Brazil,69734.40336,110703.64,150800.8503,172592.911,332110.6812,361747.8743,416663.8005,518650.5207,682526.5119,747902.6942,874296.36,784513.2321,1120982.373,1515853.874,1764283.223,2213199.102,2577561.861,2879163.801,2897468.95,2970690.265,2704654.868,2811746.202,3185210.184,3731266.361,4074952.947,4497415.926,4914664.422,5349667.527,5603890.8,6579985.669,6629159.979,6770247.683,8179342.935,8885736.362,9772809.783,9665899.255,9869709.086,9937863.285,12361194.95,10556270.42,12915351.1,14812523.88,17053180.95,18873254.04,20075387.89,20468181.43,20742543.23,23371815.95,21635732.3,22199828.99
brn,Brunei,183598.4523,181921.7541,373484.5228,1631008.169,3540348.237,4642777.3,6123301.806,7027042.132,6887457.008,7215670.679,7242497.85,7011951.849,7003568.358,7304535.684,7391723.99,7206029.665,7224892.519,7208125.537,7488972.485,7338907.997,7482684.867,7595442.82,8175580.396,8656373.603,8711285.469,9859823.732,9774312.124,9781857.266,9029858.126,9412983.663,9471668.1,9554664.66,9606642.304,10356964.75,10255221.17,10068308.25,10538372.03,10273111.45,10189163.56,9568881.485,10296945.64,10729828.99,10534201.54,10233287.71,10909842.12,11428591.76,11128843.27,11053231.35,10804189.36,11160908.09
can,Canada,46445636.29,50778159.93,57330180.57,61425193.47,60150825.45,61441573.52,61982115.22,65110705.07,62833877.9,66257308.68,61245012.9,59181126.4,62121345.66,58427644.02,64037811.69,69229305.2,64931343.51,70383934.99,81278471.15,86351618.9,88949085.46,93618710.71,103151081.7,113554625.7,122912385.4,131333834.9,132345722.3,137343852.1,142393895.1,146638177.1,151594733.4,154272764.4,155393443.7,151373172.8,151964918.3,154043379.2,154253998.3,150197012,143157007.7,133319712,128625172,129897957.9,129239208.9,130627988,136708168.5,138225000,147725064.5,150990133.3,153939552.9,148842872.6
