geo,name,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
are,UAE,69570.09,74251.99,79787.22,89128.28,99039.72,115239.75,136000,179000,280000,388000,629000,931000,1393000,1520000,2078000,5082000,5553000,6168000,6190000,7105000,8874000,10731000,11712000,14021000,14706000,15392000,19055000,19194000,19861000,20857000,20846000,20165000,20514000,20407000,19899000,19666000,19396000,20021000,22163000,23984000,24972000,26873000,28713000,30164000,29393000,31298000,33838276,35233972,38961463,39268037,42154096.13,44918369.06,44248152.31,46045061.34,44623469.78
arg,Argentina,22049675.88,22756688.68,23300596.08,23795814.5,24699899.19,22120221.29,23610000,23633000,23686000,23856000,22429000,23316000,24539000,24527000,25950000,24259000,22425000,21518000,21973000,20701000,18729000,21552000,23007000,23010000,20867000,19699000,20211000,21339000,21143000,20343000,20309000,21110000,21099000,21598000,20093000,20328000,19550000,18060000,18600000,19505000,20762875,21765611.26,24175242.21,24876827.43,24327005.48,27498203.99,27424684.72,28554868.16,30658935.3,30085195.54,30930392.39,30196747.5,29428088.87,28056683.34,27600237.7
aus,Australia,15122000,18002000,19729000,21490000,22058000,24412000,25692000,26130000,27863000,29517000,29136000,29779000,31192000,31249162.65,31772101.1,30442356.62,29426412.47,29548116.06,29024667.77,30449843.41,28927945.14,29632414.65,30247742.21,31647683.81,32742146.48,33193446.71,32259102.19,32362273.23,34065151.66,35348832.15,36453968.89,37011274.26,37677074.84,37599515.96,38806110.59,38584922.12,38833797.46,38651012.54,38582288.74,39710731.53,39363017.7,42746014.57,42086757.32,42171030.66,42003553.64,41595259.71,44379033.57,46114246.25,46884101.06,47429261.41,45609262.64,45970342.85,48148722.12,49460138.3,49090841.57
aut,Austria,5561000,6116000,6513000,7536000,8278000,9097000,10156000,10957000,11866000,10613000,10713000,11650000,11141000,12000000,12504000,12188000,11046000,10469000,10109000,9820000,9835000,10377000,10670000,10561000,10381000,10847821.54,11686032.32,11383175.29,11472855.86,11314847.5,11307231.88,11691477.83,11906170.36,12363829.31,12134142.84,11830740.34,12866906.38,13137142.06,14214278.9,13830817.64,13775623.63,13758475.68,12933966.94,12817663.52,12177322.5,12731163.46,11866781.85,11851759.76,12233019.44,11737374.44,11670444.38,12076906.56,12258753.23,12413689.59,12691620.44
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,8251865.1,8649398.25,8144260.3,8344730.13,8140393.73,8542886.01,8240032.7,8031482.38,8000764.23,7301815.72,6580227.64,5936747.97,5646300.81,5947373.98,5726821.14,6330644.99,3996926.83,3665000,4272000,4603000,5376000,4806000,4524000,3590700,3312100,3264600,3986900,4168000,4542900,4446102.84,4536865.4,4522889.57,4557560.61,4782622.8,4927370.69
bel,Belgium,15940000,16257000,17941000,20854000,24053000,26211000,26855000,29075000,30561000,26875000,25404000,26486000,26055000,27798000,27638000,25567000,23429000,22177000,20077000,19393000,19664000,22265000,22430000,23125000,22699000,24176325.65,25966693.47,26397587.01,25963874.73,28218288.3,27867250.44,30298458.7,30991614.44,31434787.99,30343601.73,31171086.42,31616729.21,31850820.14,33637834.27,33948959.84,33737227.38,33720891.48,34050218.01,35685054.72,32036694.07,33141834.36,30904013.94,29853083.39,30599054.7,30130055.84,31038683.01,31587814.44,32213970.08,32849898.06,31985302.4
bgd,Bangladesh,,,,,,,676000,835000,947000,982000,1146000,1240000,1222000,1299000,1439000,1625000,1675000,1650000,1476000,1489000,1660000,1790000,1760000,1765000,1922000,1860000,1722000,1923000,2161000,2247000,2933000,2990000,3429000,3793000,3371000,3324000,3957000,3962802,4109043,3854176,3872730,3919782,3704930,3766274,3520655,3920290,5080024,5437646,5327469,5990617.83,6340885.11,6964195.88,7790491.25,8901284.79,8527857.43
bgr,Bulgaria,3702000,4226000,5316000,6300000,7736000,8986000,9889000,10282000,10849000,11284000,11965000,12431000,12927000,13315000,13726000,13972000,12457000,12064000,11634000,11167000,10362000,10921000,10491000,11130000,10845000,9902312.51,6732229.39,5941345.81,6397635.96,6064482.38,6208385.41,5792708.76,4511826.58,4773023.45,4374297.17,4233928.18,4535688.16,4637534.76,4796357.58,4677724.22,5138775.5,5296607.67,5199219.06,4965218.97,4569328.09,4154349.63,3913046.12,4106992.64,3814515.25,4048091.55,4555825.7,4590626.69,4806853.32,4795269.13,5074870.03
blr,Belarus,,,,,,,,,,,,,,,,,,,,,25395521.03,30003835.9,29676480.03,28746861.87,26916840.88,24889064.05,24066223.81,20503000,14523000,11807000,10745000,10556000,9203000,8693000,7976000,7865000,7685000,8003000,8181000,8164000,7567000,8848000,8071000,7955000,9241000,7414000,8464000,10426000,7053000,8046275.07,6846180.05,6712167.3,6697244.07,7281595.79,7482990.28
bra,Brazil,14843000,16166000,16693000,20048000,21966000,24894000,27433000,31513000,38842000,41896000,43232000,46808000,47935000,52192000,54847000,52874000,50325000,50922000,48247000,48842000,49554000,54686000,56270000,57253000,57638000,56815000,57456000,62286000,64675000,69014000,71987000,76649000,82241000,85736000,86775000,85759000,87942486.02,86058216.01,83522809.96,86235934.15,88434348.13,90134262.78,93858997.97,98230106.47,97359190.66,106061338.5,112789252.7,115755503.5,122785491.2,126629768.5,118475064.4,112174331,113570828,108861971.9,109706703.3
